1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2024,31206RMSTR4520B,110000360163,ARMSTRONG WORLD INDUSTRIES INC,4520 BROADWAY,MACON,BIBB,GA,31206,,,32.773497,-83.651600,,ARMSTRONG WORLD INDUSTRIES INC,001307792,ARMSTRONG WORLD INDUSTRIES INC,NA,,NA,NO,339,Miscellaneous Manufacturing,,,,,,,339999,,,,,,1324223059344,Formaldehyde,NO,0000050000,50-00-0,1008,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.000,43574.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43574.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43574.000,0.000,0.000,43574.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43574.000,,PRODUCTION,1.030
2024,30913FDRLPHIGHW,110000359718,CLEARWATER PAPER - AUGUSTA MILL,4278 MIKE PADGETT HWY,AUGUSTA,RICHMOND,GA,30906,,,33.328600,-81.953700,,CLEARWATER PAPER CORP,782437318,,NA,,NA,NO,322,Paper,,,,,,,322130,,,,,,1324222871473,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007647010,7647-01-0,152231,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,50.000,64000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64050.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64050.000,0.000,0.000,64050.000,0.000,0.000,0.000,0.000,0.000,0.000,5900.000,0.000,69950.000,,PRODUCTION,1.130
2024,31323CHMTLCHEMI,110027375775,CHEMTALL INCORPORATED; FLOCRYL LLC,CHEMICAL PLANT RD,RICEBORO,LIBERTY,GA,31323,,,31.743668,-81.431776,,SNF HOLDING CO,878930965,SNF HOLDING CO,SNF GROUP SA,284907254,SNF GROUP SA,NO,325,Chemicals,,,,,,,325998,,,,,,1324223212313,Acrylonitrile,NO,0000107131,107-13-1,24182,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,45.000,37.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,3700.000,0.000,0.000,0.000,3782.000,,PRODUCTION,1.080
2024,30080RGSSP5211I,110037142909,HUDSON TECHNOLOGIES CO,5211 INDUSTRIAL CT SE,ATLANTA,COBB,GA,30339,,,33.831230,-84.465720,,HUDSON TECHNOLOGIES INC,782619647,HUDSON TECHNOLOGIES INC,NA,,NA,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1324222779973,Chlorotrifluoromethane (CFC-13),NO,0000075729,75-72-9,5819,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2024,31046SCHRR10986,110007356066,SCHERER STEAM ELECTRIC GENERATING PLANT,10986 HWY 87,JULIETTE,MONROE,GA,31046,,,33.061300,-83.806600,,SOUTHERN CO CO-OWNED,NA,SOUTHERN CO CO-OWNED,NA,,NA,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1324222916367,Copper  And Copper Compounds,YES,N100,N100,649491,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.000,130.000,5.000,0.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,0.000,15135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15135.000,0.000,15000.000,135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15135.000,,PRODUCTION,1.130
2024,30753MNTVROLDUS,110000588123,MOUNT VERNON MILLS INC APPAREL FABRICS DIV,OLD U.S. HWY 27,TRION,CHATTOOGA,GA,30753,,,34.545500,-85.311944,,R B PAMPLIN CORP,047081674,R B PAMPLIN CORP,NA,,NA,NO,313,Textiles,,,,,,,313210,,,,,,1324222462350,Ammonia,NO,0007664417,7664-41-7,152389,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,2.000,1316.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1318.000,0.000,192875.000,192875.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,96631.000,0.000,0.000,96631.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,192875.000,0.000,289506.000,1318.000,0.000,0.000,1318.000,0.000,0.000,0.000,0.000,0.000,96631.000,0.000,192875.000,290824.000,,PRODUCTION,1.270
2024,31408BLDNG1BRAM,110011734524,BUILDING MATERIALS MANUFACTURING LLC,1 BRAMPTON RD,SAVANNAH,CHATHAM,GA,31408,,,32.115970,-81.132384,,G HOLDINGS INC,NA,G HOLDINGS INC,NA,,NA,NO,324,Petroleum,,,,,,,324122,,,,,,1324222929681,Copper compounds,NO,N100,N100,649491,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.008,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.009,0.000,0.000,0.009,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.009,,PRODUCTION,0.360
2024,31763CRMRT1319U,110012706544,CROMARTIE AGRICULTURAL CHEMICALS INC.,1319 US 82 W,LEESBURG,LEE,GA,31763,,,31.633311,-84.243419,,NA,,NA,NA,,NA,NO,325,Chemicals,,,,,,,325314,,,,,,1324222524833,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2024,31774BLDCRHWY12,110000604631,MAKHTESHIM AGAN OF N.A. INC. DBA ADAMA OCILLA PLAN,364 FITZGERALD HWY,OCILLA,IRWIN,GA,31774,,,31.626360,-83.249650,,BOLD FORMULATORS LLC,NA,BOLD FORMULATORS LLC,NA,,NA,NO,325,Chemicals,,,,,,,325320,,,,,,1324223073343,N-Methyl-2-pyrrolidone,NO,0000872504,872-50-4,72744,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,10.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,377.000,0.000,0.000,377.000,0.000,377.000,20.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,377.000,397.000,,PRODUCTION,0.540
2024,30269HSHZK618HW,110001424414,HOSHIZAKI AMERICA INC,618 GA HWY 74 S,PEACHTREE CITY,FAYETTE,GA,30269,,,33.367790,-84.565720,,HOSHIZAKI USA HOLDINGS INC,831087270,HOSHIZAKI USA HOLDINGS INC,NA,,HOSHIZAKI CORP,NO,333,Machinery,,,,,,,333415,,,,,,1324223149980,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,233983.750,233983.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,233983.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,233983.750,0.000,0.000,233983.750,0.000,PRODUCTION,1.000
